"token"	"keyness"	"freq"	"key_neg"
"his"	41.2310	444	"positive"
"him"	39.7810	853	"positive"
"robinson"	38.2710	16	"positive"
"her"	34.7840	463	"positive"
"room"	31.9440	127	"positive"
"cockburn"	28.0600	9	"positive"
"kerslake"	28.0600	9	"positive"
"he"	27.0220	1819	"positive"
"which"	26.9100	285	"positive"
"shares"	26.8740	12	"positive"
"chatterton"	24.9420	8	"positive"
"dillett"	24.9420	8	"positive"
"we"	24.8370	225	"positive"
"has"	22.2450	164	"positive"
"comte"	21.8240	7	"positive"
"upon"	20.2450	105	"positive"
"inland"	18.7060	6	"positive"
"swinton"	18.7060	6	"positive"
"testator"	18.7060	6	"positive"
"guinea"	18.7010	44	"positive"
"forgery"	18.5490	10	"positive"
"prove"	16.6350	58	"positive"
"connell"	16.2680	7	"positive"
"teasdale"	16.2680	7	"positive"
"neighbours"	15.9810	9	"positive"
"pulled"	15.8220	42	"positive"
"campion"	15.5890	5	"positive"
"dagger"	15.5890	5	"positive"
"dominos"	15.5890	5	"positive"
"hog"	15.5890	5	"positive"
"hogg"	15.5890	5	"positive"
"middleton"	15.5890	5	"positive"
"openly"	15.5890	5	"positive"
"proofs"	15.5890	5	"positive"
"le"	15.0550	11	"positive"
"however"	14.2720	12	"positive"
"murder"	14.0270	16	"positive"
"bricks"	13.4680	8	"positive"
"improper"	13.4370	6	"positive"
"peace"	13.2340	7	"positive"
"eleven"	13.1230	34	"positive"
"m"	12.8420	10	"positive"
"letters"	12.6820	23	"positive"
"that"	12.5970	876	"positive"
"borrowed"	12.5530	22	"positive"
"appeared"	12.1820	17	"positive"
"she"	11.8000	582	"positive"
"pound"	10.9020	34	"positive"
"situation"	10.9020	34	"positive"
"such"	10.7870	64	"positive"
"conceive"	10.6540	6	"positive"
"grapes"	10.6540	6	"positive"
"chuse"	10.6540	5	"positive"
"convince"	10.6540	5	"positive"
"you"	10.5720	389	"positive"
"suppose"	10.2230	25	"positive"
"bill"	10.0190	32	"positive"
"prince"	9.9810	8	"positive"
"although"	9.9550	11	"positive"
"sometimes"	9.7510	13	"positive"
"horse"	9.7390	66	"positive"
"gentlemen"	9.4630	72	"positive"
"signed"	9.4360	9	"positive"
"son"	9.4150	21	"positive"
"dwelling"	9.2930	7	"positive"
"money"	9.1710	294	"positive"
"moved"	9.1420	10	"positive"
"drank"	9.0760	28	"positive"
"ought"	8.9930	11	"positive"
"watch"	8.9470	147	"positive"
"prosecutor"	8.9120	166	"positive"
"circumstances"	8.8670	18	"positive"
"word"	8.6890	20	"positive"
"miserable"	8.6660	6	"positive"
"occasions"	8.6660	6	"positive"
"postage"	8.6660	6	"positive"
"buckles"	8.6550	8	"positive"
"church"	8.6040	22	"positive"
"silver"	8.6040	22	"positive"
"trust"	8.4930	19	"positive"
"mrs"	8.3080	82	"positive"
"might"	8.2130	75	"positive"
"watts"	8.1580	5	"positive"
"warrant"	8.1230	11	"positive"
"repeatedly"	7.8860	7	"positive"
"march"	7.7840	15	"positive"
"locked"	7.4850	23	"positive"
"paper"	7.4820	36	"positive"
"will"	7.4540	200	"positive"
"requested"	7.4030	12	"positive"
"each"	7.3580	9	"positive"
"words"	7.2280	20	"positive"
"accusation"	7.1360	6	"positive"
"disappointed"	7.1360	6	"positive"
"gregory"	7.1360	6	"positive"
"porters"	7.1360	6	"positive"
"sword"	7.1360	6	"positive"
"day"	7.0770	135	"positive"
"missed"	7.0030	19	"positive"
"cannot"	6.8220	52	"positive"
"their"	6.8210	53	"positive"
"o"	6.8120	131	"positive"
"be"	6.7060	228	"positive"
"my"	6.6550	1432	"positive"
"bank"	6.6490	15	"positive"
"backwards"	6.6120	11	"positive"
"lose"	6.6120	11	"positive"
"play"	6.6120	11	"positive"
"god"	6.5730	27	"positive"
"rest"	6.5480	24	"positive"
"instantly"	6.5400	8	"positive"
"quarrel"	6.5400	8	"positive"
"sit"	6.5400	8	"positive"
"declared"	6.4970	9	"positive"
"brother"	6.4600	41	"positive"
"highgate"	6.4210	5	"positive"
"inquiries"	6.4210	5	"positive"
"sleep"	6.3290	26	"positive"
"stated"	6.3060	23	"positive"
"clear"	6.2760	13	"positive"
"made"	6.2660	89	"positive"
"with"	5.9430	735	"positive"
"always"	5.9370	32	"positive"
"duty"	5.9270	14	"positive"
"crane"	5.9100	6	"positive"
"forwards"	5.9100	6	"positive"
"cash"	5.8260	10	"positive"
"bring"	5.7340	41	"positive"
"poker"	5.7300	9	"positive"
"washed"	5.7300	9	"positive"
"danger"	5.7230	7	"positive"
"determined"	5.6850	8	"positive"
"french"	5.6850	8	"positive"
"mr"	5.5980	294	"positive"
"lodging"	5.5170	39	"positive"
"glass"	5.5100	40	"positive"
"stand"	5.4250	31	"positive"
"s"	5.3720	553	"positive"
"move"	5.3550	11	"positive"
"yet"	5.3550	11	"positive"
