"year"	"sess_date"	"editor"	"printer"	"publisher"	"scribe"
1780	17800112	"na"	"na"	"Gurney"	"Gurney"
1780	17800223	"na"	"na"	"Gurney"	"Gurney"
1780	17800405	"na"	"na"	"Gurney"	"Gurney"
1780	17800913	"na"	"na"	"Gurney"	"Gurney"
1780	17801018	"na"	"na"	"Gurney"	"Gurney"
1780	17801206	"na"	"na"	"Gurney"	"Gurney"
1781	17810110	"na"	"na"	"Gurney"	"Gurney"
1781	17810222	"na"	"na"	"Gurney"	"Gurney"
1781	17810425	"na"	"na"	"Gurney"	"Gurney"
1781	17810711	"na"	"na"	"Gurney"	"Gurney"
1781	17811017	"na"	"na"	"Gurney"	"Gurney"
1782	17820109	"na"	"na"	"Blanchard"	"Blanchard"
1782	17820220	"na"	"na"	"Blanchard"	"Blanchard"
1782	17820515	"na"	"na"	"Gurney"	"Gurney"
1782	17820605	"na"	"na"	"Gurney"	"Gurney"
1782	17820703	"na"	"na"	"Gurney"	"Gurney"
1782	17821016	"na"	"na"	"Hodgson"	"Hodgson"
1783	17830430	"na"	"na"	"Hodgson"	"Hodgson"
1783	17830726	"na"	"na"	"Hodgson"	"Hodgson"
1784	17841210	"na"	"na"	"Hodgson"	"Hodgson"
1785	17850406	"na"	"na"	"Hodgson"	"Hodgson"
1786	17860719	"na"	"na"	"Hodgson"	"Hodgson"
1786	17861215	"na"	"na"	"Hodgson"	"Hodgson"
1787	17870110	"na"	"na"	"Hodgson"	"Hodgson"
1787	17870112	"na"	"na"	"Hodgson"	"Hodgson"
1787	17870115	"na"	"na"	"Hodgson"	"Hodgson"
1787	17870418	"na"	"na"	"Hodgson"	"Hodgson"
1787	17870523	"na"	"na"	"Hodgson"	"Hodgson"
1790	17900224	"na"	"na"	"Hodgson"	"Hodgson"
1790	17900416	"na"	"na"	"Hodgson"	"Hodgson"
1790	17900417	"na"	"na"	"Hodgson"	"Hodgson"
1790	17900708	"na"	"na"	"Hodgson"	"Hodgson"
1790	17900710	"na"	"na"	"Hodgson"	"Hodgson"
1791	17910216	"na"	"na"	"Hodgson"	"Hodgson"
1791	17910720	"na"	"na"	"Hodgson"	"Hodgson"
1791	17910914	"na"	"na"	"Hodgson"	"Hodgson"
1791	17911026	"na"	"na"	"Hodgson"	"Hodgson"
1791	17911207	"na"	"na"	"Hodgson"	"Hodgson"
1792	17920113	"na"	"na"	"Hodgson"	"Hodgson"
1792	17920215	"na"	"na"	"Hodgson"	"Hodgson"
1792	17920329	"na"	"na"	"Hodgson"	"Hodgson"
1792	17920704	"na"	"na"	"Hodgson"	"Hodgson"
1792	17920912	"na"	"na"	"Hodgson"	"Hodgson"
1792	17921031	"na"	"na"	"Hodgson"	"Hodgson"
1793	17930626	"na"	"Fenwick"	"Fenwick"	"SiblyM"
1793	17931204	"na"	"Fenwick"	"Fenwick"	"SiblyM"
1794	17940219	"na"	"Fenwick"	"Fenwick"	"SiblyM"
1795	17950114	"na"	"Fenwick"	"Fenwick"	"SiblyM"
1795	17950218	"na"	"Fenwick"	"Fenwick"	"SiblyM"
